Item,Unit,Price,Notes
Architectural Shingles,Per Bundle,95,Most common option
3-Tab Shingles,Per Bundle,80,Economy option
Synthetic Underlayment,Per Roll,120,Covers ~10 squares
Ice & Water Shield,Per Roll,140,For valleys/eaves
Drip Edge,Per Linear Foot,2.50,Standard metal edge
Ridge Vent,Per Linear Foot,6.00,Shingle-over style
Ridge Cap Shingles,Per Bundle,45,For finishing ridges
Pipe Boot,Each,25,Standard flashing
Step Flashing,Per Piece,1.50,For wall transitions
Counter Flashing,Per Linear Foot,5.00,Brick/stone transitions
Roofing Nails,Per Box,30,Coil nails for guns
Dumpster Rental,Per Job,450,Average for tear-off
Starter Strip,Per Bundle,40,Installed along eaves
Skylight Flashing Kit,Each,175,For Velux/standard sizes
Vent Cap,Each,35,For exhaust pipes
Chimney Flashing,Per Job,250,Custom install
Decking Replacement,Per Sheet,65,1/2" OSB or plywood
Labor Tear-off,Per Square,45,Standard removal
Labor Install,Per Square,85,Install shingles
